,train_acc,train_loss,val_acc,val_loss
0,0.3798076923076923,1.2978708148002625,0.6177083333333333,0.9565930813550949
1,0.6620879120879122,0.7683413200653516,0.5364583333333334,0.7642534449696541
2,0.7366071428571429,0.5905877993657038,0.6052083333333333,0.6953927576541901
3,0.7757554945054945,0.4914711197981468,0.65,0.6527588292956352
4,0.8173076923076923,0.4386933044745372,0.6697916666666667,0.7118933945894241
5,0.8231456043956045,0.44496957613871646,0.7791666666666667,0.5779122784733772
6,0.8695054945054945,0.3542903890976539,0.6927083333333334,0.5532192140817642
7,0.8894230769230769,0.3100428879261017,0.7645833333333334,0.5611818432807922
8,0.8966346153846154,0.28603740366032493,0.7625,0.6237725242972374
9,0.9031593406593407,0.26765306752461654,0.778125,0.5628445744514465
10,0.8870192307692307,0.2550978924219425,0.74375,0.5583879388868809
11,0.9086538461538461,0.24153076513455465,0.7802083333333334,0.6085089519619942
12,0.9471153846153846,0.19229328603698656,0.7770833333333333,0.579012393951416
13,0.9471153846153846,0.1718762911712894,0.7270833333333333,0.5263895839452744
14,0.9471153846153846,0.1654275949471272,0.7458333333333333,0.5856114476919174
15,0.9536401098901099,0.13392087910324335,0.7447916666666666,0.5801303796470165
16,0.9711538461538461,0.11968572050906144,0.7447916666666666,0.5910612046718597
17,0.96875,0.09136958746239543,0.728125,0.6685845851898193
18,0.9807692307692307,0.07910067222725886,0.728125,0.6452242061495781
19,0.9855769230769231,0.0649858764730967,0.7270833333333333,0.6921113207936287
